"","logFC","logCPM","LR","PValue","FDR"
"IGHA1",-1.69061427657503,4.66988513835498,240.173553438177,3.60465068580908e-54,5.5868480979355e-50
"ITGAD",1.52266703475366,0.137188292708669,108.137391290288,2.50777569814018e-25,1.94340077727374e-21
"MYH11",-1.03726397358403,8.11415212263957,102.222750517436,4.96167990609275e-24,2.56336922881772e-20
"DES",-1.16230295116479,4.44200773906474,97.7786431277858,4.67866647649357e-23,1.81286629297934e-19
"TBX5",1.23640429628392,2.09505280037696,97.0335052025509,6.8164051592868e-23,2.11294927127572e-19
"CLDN1",-1.4115358510088,1.58023524977758,91.3261182544126,1.21841763952055e-21,3.14737583248816e-18
"KRT19",-1.73146398966415,1.06912969691951,90.808519006706,1.58270473787032e-21,3.4304700848335e-18
"SYCE1",1.15349742979165,1.57260711674227,90.5864599316962,1.77067944245874e-21,3.4304700848335e-18
"PLA2G2A",-0.879203833125364,6.15166488921356,86.4771798315147,1.4135909271723e-20,2.43436064224928e-17
"COL6A6",1.05655234108244,3.54317668898322,82.3829706715398,1.12115599893683e-19,1.73767968275219e-16
"SHOX2",-0.987104193729221,2.43665772477292,78.4206107052771,8.32787195664707e-19,1.17339715869157e-15
"CRABP1",-1.70546968232951,-0.603869045863375,73.6503319715202,9.32561599836788e-18,1.20448101965586e-14
"KIF25",1.20294143571488,2.84536232212349,73.4529902177697,1.03061746670132e-17,1.22873385510799e-14
"KRT5",-1.58541352738724,2.32902583922703,72.6922193134458,1.51530324285404e-17,1.67754892578534e-14
"NPNT",-0.797220138662096,4.05149250612789,67.3871758335522,2.23095387555555e-16,2.30517027448236e-13
"SOCS3",-0.780267424260012,6.8404570359354,65.014702603688,7.43413242728794e-16,7.20135115565849e-13
"SUSD5",-1.0675087345557,2.8459329021519,64.3539680395658,1.03958808333289e-15,9.47798570798612e-13
"RERGL",-0.870097117219918,4.7273344187331,64.0281779867524,1.22652347405587e-15,1.05083318220424e-12
