"","logFC","logCPM","LR","PValue","FDR"
"NNAT",3.3443299651298,2.80712373682335,135.460047567089,2.61884570849936e-31,4.16396467651399e-27
"RNF112",-1.18173547388652,1.76884539644116,80.4871811202182,2.92596896814597e-19,2.32614532967604e-15
"SRD5A2",-0.984224820095186,4.17163054462947,78.1039396440221,9.77587828283834e-19,4.77568870482236e-15
"MMP11",1.13229727286093,2.82137131090152,77.6966800993295,1.20143112071003e-18,4.77568870482236e-15
"DHRS2",2.21749048070378,2.22365118365276,75.1752402222964,4.30734974526451e-18,1.36973721899412e-14
"NOTUM",2.04086178145986,0.467795382704898,74.4184741203212,6.31948480203467e-18,1.67466347253919e-14
"PDIA2",2.3498698918258,1.81365792675853,70.2311732658591,5.27462838136792e-17,1.19809416091071e-13
"NRIP3",1.52258892784912,1.27876293637487,69.8419229819194,6.42526622485834e-17,1.2770216621906e-13
"VIT",-1.14133857105555,1.03558991362027,67.2428015679597,2.40045674312793e-16,4.24080691285934e-13
"GOLGA7B",1.17031644861744,0.80827583276315,66.1160385055658,4.25142227387178e-16,6.75976141545613e-13
"COL11A1",1.82791408769326,0.162152964867909,65.6293628267358,5.44218706463245e-16,7.8664340297869e-13
"PPFIA2",1.97334556472566,3.53174589587233,62.9012527061058,2.1733395566546e-15,2.87967491256735e-12
"ASPA",-0.924409682731584,1.24096994273987,61.8435925236493,3.71850419803023e-15,4.54801667297544e-12
"COL4A6",-0.782558308954606,4.10692544587774,59.9010439899924,9.97485273304654e-15,1.13285827468171e-11
"UBE2C",0.945750537608223,1.94093264569862,59.699320064154,1.10514718137468e-14,1.17145601225716e-11
"FOXS1",0.963611098589034,1.0056292085285,58.8827928400392,1.67349322070651e-14,1.6630338880771e-11
"ADCYAP1R1",-0.954372862711807,0.465595742874494,58.6674563523484,1.86704262550028e-14,1.74623398502674e-11
"PAH",-2.36602478089846,1.71199864233095,58.1042580464011,2.48587656776346e-14,2.19585763485773e-11
"PTTG1",0.746568026063456,2.09245676225195,57.8502508219039,2.82850913633115e-14,2.36701554040343e-11
"JPH4",-0.960592171091806,3.75233099788364,57.3990103680315,3.55786252408618e-14,2.82850070664852e-11
"SMOC1",-0.953569129125189,4.88885648507319,56.9231230725659,4.53185786471882e-14,3.43126381185854e-11
"KIF18B",0.977349432066415,0.52508038912418,56.7485006220396,4.95268360957525e-14,3.57943951782938e-11
"NUF2",0.751670601692976,0.489213013654229,55.3534339534581,1.00693805797696e-13,6.93422861557087e-11
"C2",-0.794148003216385,4.42890002473141,55.2773529191009,1.04667601744466e-13,6.93422861557087e-11
"UBXN10.AS1",-0.987012593554099,0.247249748896102,54.9870238600776,1.21328208810767e-13,7.52042327780949e-11
"PROK1",-1.42805910691969,2.4098745642055,54.9314510220196,1.24807734213906e-13,7.52042327780949e-11
"PRSS27",0.808023718136857,0.883053083787078,54.8863433186132,1.27705300943935e-13,7.52042327780949e-11
"RPE65",-1.37081665638988,-0.0257339634498237,54.6334378228248,1.45243220150904e-13,8.09309172968248e-11
"SHCBP1",0.801375483991706,0.729150161213085,54.601673976708,1.47609849157731e-13,8.09309172968248e-11
"TYRP1",1.53093207792616,-0.0329749322931032,54.2238870134406,1.78898818784721e-13,9.48163739559022e-11
"KIF14",0.83436795686795,0.145078925138884,54.1488847128628,1.85859340364011e-13,9.53278552189602e-11
"ASPN",0.987598009721857,3.68649928197788,54.0370832463868,1.96741211136202e-13,9.77557892833004e-11
"GRIA3",-1.31213597175112,0.888941672592415,53.651604314291,2.39388128256228e-13,1.15341552705273e-10
"TOP2A",0.826081267746396,4.02359841180013,53.5426220420658,2.53042941543462e-13,1.18334787368854e-10
"EFNA3",0.731427701957231,1.92794817207921,53.1803636029157,3.04285408742167e-13,1.36665244433094e-10
"INHBA",0.978209982391296,3.52163417473904,53.147425410765,3.09430742112665e-13,1.36665244433094e-10
"GTSE1",0.793061314965466,1.20606774657128,52.8576148169743,3.5862559789175e-13,1.54112081256185e-10
"DPT",-1.12266808178805,3.73815625263299,52.6189061386482,4.0497193533783e-13,1.69306024679456e-10
"CDC20",0.823419636681715,2.24334682949307,52.5577361617159,4.1778380390261e-13,1.69306024679456e-10
"ZNF467",0.700970484109307,3.57240172661439,52.5198243189257,4.25927106111838e-13,1.69306024679456e-10
"CPNE6",-1.22893453783188,1.63829349963511,52.0346393808687,5.45301373769893e-13,2.11470532754666e-10
"IGSF1",-1.15643646695569,1.21306664190971,51.1168302283598,8.70289085338018e-13,3.29466582306535e-10
"AIDA",0.594567516798473,4.62638680603879,50.7538069602401,1.04709273424047e-12,3.8718080173078e-10
"CENPA",0.883470696931182,0.132029086064247,50.6205943147694,1.12062943362531e-12,4.04954727150965e-10
"CENPF",0.738023600722469,3.24676189284911,50.3994686267371,1.25428180447719e-12,4.40288356412792e-10
"BHLHE40.AS1",1.09443143084786,0.783446073546355,50.3691805110521,1.27379021352129e-12,4.40288356412792e-10
"POLQ",0.834275873682973,0.268019453912512,49.879650552034,1.63471292983626e-12,5.35643754228057e-10
"KIAA0101",0.667339220278303,2.17159099286101,49.8605240436659,1.65072603504244e-12,5.35643754228057e-10
"KIAA0101.1",0.667339220278303,2.17159099286101,49.8605240436659,1.65072603504244e-12,5.35643754228057e-10
"SPAG5",0.603988854964929,2.6640329853776,49.6257646612751,1.86054245445217e-12,5.91652500515789e-10
"FAM196A",-0.90807138594609,-0.515790489071328,49.564008856891,1.92003938239425e-12,5.98600513334678e-10
"MYBL2",0.896066892935925,2.54792984748221,49.5121430655619,1.97147662336412e-12,6.02816890605569e-10
"COL23A1",-0.712611723016002,2.20619962347199,49.4197433502114,2.06655345378125e-12,6.19966036134376e-10
"ADAMTS9.AS1",-1.00722031289057,2.1347498817166,49.2012414242377,2.31004466065046e-12,6.80179816747081e-10
"GRM4",0.994869079488359,-0.736596380026341,49.0123910393389,2.54350628116835e-12,7.34428650945541e-10
"VEZT",0.236609304500386,5.94371811557425,48.9484122343902,2.6278388324559e-12,7.34428650945541e-10
"PAK3",-0.65723498220443,1.92254594787501,48.9446699273987,2.63285742791798e-12,7.34428650945541e-10
"C2orf88",-0.852167165569294,2.15591765755323,48.7946924536896,2.84207875590222e-12,7.69531389792376e-10
"CEP55",0.793140474125254,1.26159960688233,48.7659403944681,2.88404977236556e-12,7.69531389792376e-10
"SGO1",0.764338991409263,-0.21276641773839,48.7524930027743,2.90389203695236e-12,7.69531389792376e-10
"OASL",1.0940564186674,1.19441675731062,48.5538887785166,3.21336499232320e-12,8.37582022589163e-10
"ANLN",0.791852545132124,2.16664481341673,48.3126899008989,3.63392945472869e-12,9.31927069841713e-10
"TACC3",0.602088606091154,3.49331630033822,48.2378091930239,3.77538075607644e-12,9.32182944688888e-10
"DLGAP5",0.811868890860532,1.2005270970209,48.2152455794313,3.81907465131437e-12,9.32182944688888e-10
"RFX6",1.60454207704117,0.956148645215677,48.1943097484196,3.86006888997793e-12,9.32182944688888e-10
"KIF23",0.656294590550918,1.59674329102983,48.1895558470175,3.86943863833123e-12,9.32182944688888e-10
"NUSAP1",0.72473349272184,2.85668783210253,48.1328222904895,3.98303053006063e-12,9.45226648178569e-10
"MELK",0.79119498975908,1.4049531465683,47.9893532260031,4.28539867756413e-12,1.00202704372455e-09
"CDKN3",0.689726217729708,0.862765598050955,47.7838543542982,4.75895086985417e-12,1.09662780914031e-09
"CST2",2.0656313742514,3.97264407821217,47.7354957685335,4.87779626080007e-12,1.10795657923887e-09
