"","x"
"1","ABCB4"
"2","ABCB9"
"3","ACAP1"
"4","ACHE"
"5","ACP5"
"6","ADAM28"
"7","ADAMDEC1"
"8","ADAMTS3"
"9","ADRB2"
"10","AIF1"
"11","AIM2"
"12","ALOX15"
"13","ALOX5"
"14","AMPD1"
"15","ANGPT4"
"16","ANKRD55"
"17","APOBEC3G"
"18","APOL3"
"19","APOL6"
"20","AQP9"
"21","ARHGAP22"
"22","ARRB1"
"23","ASGR1"
"24","ASGR2"
"25","ATP8B4"
"26","ATXN8OS"
"27","AZU1"
"28","BACH2"
"29","BANK1"
"30","BARX2"
"31","BCL11B"
"32","BCL2A1"
"33","BCL7A"
"34","BEND5"
"35","BFSP1"
"36","BHLHE41"
"37","BIRC3"
"38","BLK"
"39","BMP2K"
"40","BRAF"
"41","BRSK2"
"42","BST1"
"43","BTNL8"
"44","C11orf80"
"45","C1orf54"
"46","C3AR1"
"47","C5AR1"
"48","C5AR2"
"49","CA8"
"50","CAMP"
"51","CASP5"
"52","CCDC102B"
"53","CCL1"
"54","CCL13"
"55","CCL17"
"56","CCL18"
"57","CCL19"
"58","CCL20"
"59","CCL22"
"60","CCL23"
"61","CCL4"
"62","CCL5"
"63","CCL7"
"64","CCL8"
"65","CCND2"
"66","CCR10"
"67","CCR2"
"68","CCR3"
"69","CCR5"
"70","CCR6"
"71","CCR7"
"72","CD160"
"73","CD180"
"74","CD19"
"75","CD1A"
"76","CD1B"
"77","CD1C"
"78","CD1D"
"79","CD1E"
"80","CD2"
"81","CD209"
"82","CD22"
"83","CD244"
"84","CD247"
"85","CD27"
"86","CD28"
"87","CD300A"
"88","CD33"
"89","CD37"
"90","CD38"
"91","CD3D"
"92","CD3E"
"93","CD3G"
"94","CD4"
"95","CD40"
"96","CD40LG"
"97","CD5"
"98","CD6"
"99","CD69"
"100","CD7"
"101","CD70"
"102","CD72"
"103","CD79A"
"104","CD79B"
"105","CD80"
"106","CD86"
"107","CD8A"
"108","CD8B"
"109","CD96"
"110","CDA"
"111","CDC25A"
"112","CDH12"
"113","CDHR1"
"114","CDK6"
"115","CEACAM3"
"116","CEACAM8"
"117","CEMP1"
"118","CFP"
"119","CHI3L1"
"120","CHI3L2"
"121","CHST15"
"122","CHST7"
"123","CLC"
"124","CLCA3P"
"125","CLEC10A"
"126","CLEC2D"
"127","CLEC4A"
"128","CLEC7A"
"129","CLIC2"
"130","CMA1"
"131","COL8A2"
"132","COLQ"
"133","CPA3"
"134","CR2"
"135","CREB5"
"136","CRISP3"
"137","CRTAM"
"138","CRYBB1"
"139","CSF1"
"140","CSF2"
"141","CSF3R"
"142","CST7"
"143","CTLA4"
"144","CTSG"
"145","CTSW"
"146","CXCL10"
"147","CXCL11"
"148","CXCL13"
"149","CXCL3"
"150","CXCL5"
"151","CXCL9"
"152","CXCR1"
"153","CXCR2"
"154","CXCR5"
"155","CXCR6"
"156","CXorf57"
"157","CYP27A1"
"158","CYP27B1"
"159","DACH1"
"160","DAPK2"
"161","DCSTAMP"
"162","DEFA4"
"163","DENND5B"
"164","DEPDC5"
"165","DGKA"
"166","DHRS11"
"167","DHX58"
"168","DPEP2"
"169","DPP4"
"170","DSC1"
"171","DUSP2"
"172","EAF2"
"173","EBI3"
"174","EFNA5"
"175","EGR2"
"176","ELANE"
"177","EPB41"
"178","EPHA1"
"179","ETS1"
"180","ETV3"
"181","FAM124B"
"182","FAM174B"
"183","FAM198B"
"184","FAM65B"
"185","FASLG"
"186","FBXL8"
"187","FCER1A"
"188","FCER2"
"189","FCGR2B"
"190","FCGR3B"
"191","FCN1"
"192","FCRL2"
"193","FES"
"194","FFAR2"
"195","FLT3LG"
"196","FLVCR2"
"197","FOSB"
"198","FOXP3"
"199","FPR1"
"200","FPR2"
"201","FPR3"
"202","FRK"
"203","FRMD4A"
"204","FRMD8"
"205","FZD2"
"206","FZD3"
"207","GAL3ST4"
"208","GALR1"
