cell.type,gene,all.cells,CRC.carlon,oliver.literature,literature,ref,score.average,selected
Bderived,POU2AF1,1,1,0,NA,NA,0.666666667,0
Bderived,STAP1,1,1,0,NA,NA,0.666666667,0
Bderived,IGHM,1,1,1,NA,NA,1,1
Bderived,CD79A,1,1,1,NA,NA,1,1
Bderived,CD19,1,1,1,NA,NA,1,1
Bderived,MS4A1,1,1,1,NA,NA,1,1
Bderived,CD22,1,1,1,NA,NA,1,1
Bderived,TNFSF7,NA,NA,1,NA,NA,1,0
Bderived,CD79B,-1,-1,1,NA,NA,-0.333333333,0
Bderived,SDC1,-1,-1,1,NA,NA,-0.333333333,0
Bderived,TNFSF4,-1,-1,1,NA,NA,-0.333333333,0
Bderived,TNFRSF13C,-1,-1,1,NA,NA,-0.333333333,0
Bderived,IGHG1,-1,-1,1,NA,NA,-0.333333333,0
Bderived,IGHG2,NA,NA,1,NA,NA,1,0
Bderived,IGHG3,NA,NA,1,NA,NA,1,0
Bderived,IGHG4,NA,NA,1,NA,NA,1,0
Bderived,IGHA1,NA,0,1,NA,NA,0.5,0
Bderived,IGHA2,NA,NA,1,NA,NA,1,0
Bderived,IGHD,0,-1,1,NA,NA,0,0
NKT,ITK,1,1,NA,NA,NA,1,1
NKT,CD247,1,1,NA,NA,NA,1,1
NKT,CD2,1,1,NA,NA,NA,1,1
NKT,TRBC1,1,NA,NA,NA,NA,1,0
NKT,ZAP70,1,1,NA,NA,NA,1,1
Fibroblast,PAMR1,1,1,0,NA,NA,0.666666667,1
Fibroblast,CD248,1,1,0,NA,NA,0.666666667,1
Fibroblast,CNTN3,1,-1,0,NA,NA,0,0
Fibroblast,ADAMTS2,1,1,0,NA,NA,0.666666667,1
Fibroblast,DCN,1,1,0,NA,NA,0.666666667,1
Fibroblast,C1R,1,1,0,NA,NA,0.666666667,1
Fibroblast,C1S,1,1,0,NA,NA,0.666666667,1
Fibroblast,THBS2,1,1,0,NA,NA,0.666666667,1
Fibroblast,ITGB1,-1,-1,1,NA,NA,-0.333333333,0
Fibroblast,CD47,-1,-1,1,NA,NA,-0.333333333,0
Fibroblast,CD81,-1,-1,1,NA,NA,-0.333333333,0
Fibroblast,LRP1,1,1,1,NA,NA,1,1
