Gene,sample_10991,sample_10863,sample_10870,sample_10994,sample_10998,sample_10913,sample_10814,sample_11071,sample_10826,sample_10825,sample_10875,sample_10777,sample_10800,sample_10893,sample_10852,sample_10742,sample_10941,sample_10881,sample_10827,sample_10753,sample_10929,sample_10845,sample_10899,sample_10890,sample_11065,sample_11030,sample_10824,sample_10859,sample_11126,sample_10922,sample_11132,sample_11026,sample_10935,sample_11045,sample_10973,sample_11147,sample_10976,sample_10985,sample_10896,sample_10921,sample_10903,sample_10782,sample_10916,sample_10746,sample_10874,sample_10792,sample_10911,sample_10882,sample_10840,sample_10955,sample_10920,sample_10846,sample_11032,sample_10736,sample_11014,sample_10960,sample_10832,sample_11048
IGHA1,0.435426041,1.578622583,0.333247624,0.977950831,1.10624131,0.443703119,1.172835352,0.270493751,0.513582404,0.442730223,1.586850599,,5.38581935,0.323237718,,2.496949404,3.431484299,1.102924152,1.265318367,1.112135851,1.023374208,0.844010927,3.443799218,0.930987318,0.267510373,0.743377742,2.616853713,,0.246586676,0.50909272,3.861068208,0.7658673,8.843799721,4.774447853,0.067607839,2.889861071,2.954674914,0.542865478,0.933896004,6.930695914,3.185086773,0.804036342,0.325373127,1.083099922,2.825813255,3.191718846,1.35974175,3.025485556,0.714167015,3.82776046,0.460146684,7.368306289,0.189180199,2.709136621,1.563558897,3.809233115,1.412906627,1.957936056
SAA2,0.219531617,0.02240037,0.788217737,0.180657911,0.094973334,0.095402235,0.181243386,0.460944919,0.078273457,0.030532741,0.079641632,0.001133238,0.264651497,0.089075135,0.001453419,0.070764362,0.495457405,0.262126056,0.023043444,0.045195807,0.065395418,0.033593678,0.208772039,0.163326833,0.162404833,0.056962926,0.023225175,0.04537371,0.131548604,0.034244125,0.014338124,0.002592693,0.17839747,0.113191255,0.132524693,0.050223269,0.097530677,0.112864748,0.183243523,0.017732022,0.089239941,0.026138729,0.662121361,0.049144251,0.049400409,0.155321835,0.034911204,0.201334536,0.68034233,0.016215307,0.02635401,0.02044417,0.073090781,0.253900205,0.010074378,0.23940082,0.027702624,0.021692412
MYH11,2.542062321,4.093022415,0.917109726,4.932548361,1.599550636,1.612910194,0.354289413,0.527106646,0.414851285,0.005995105,2.649401242,0.08760555,2.896210245,,0.178459314,0.634708802,,1.49053817,1.814409289,1.131575344,2.562111361,0.220726716,1.475803079,2.863607394,1.008818545,3.649420007,5.867855074,3.361254807,3.345372445,1.39667918,1.231571641,5.521907526,1.364778863,6.629192738,4.510645179,1.078107083,1.796888174,2.971449767,9.46979908,1.839099723,4.259939756,0.824066771,0.872463323,1.605103648,4.706540933,4.968577376,4.729975573,0.584658351,0.997807545,1.611606412,2.653077542,6.717074053,0.749413078,1.742107946,0.327901312,1.231143762,,
DES,0.20740174,1.16850692,0.038464376,0.262398817,0.089291494,0.160725021,0.011210543,0.029231489,0.008105778,0.002677311,,,,,,,,,,,,,,,,,,,0.091579396,0.072468625,0.118955993,0.179700586,0.230632483,1.18907034,0.275826502,0.018749559,0.043570621,0.050683718,,,,,,,,,,,,,,,,,,,,
RERGL,0.75497471,0.398642093,0.313310874,0.989885635,0.481185778,0.413559566,0.284105899,0.221314048,0.220395509,0.092975837,1.449109627,0.040195158,0.376094377,0.38881776,0.060524652,0.402529708,0.467433586,0.467595731,0.868742144,0.395248989,1.09758499,0.150135121,0.74742442,0.887508705,0.771996934,0.903857338,2.31631696,0.03746013,0.94813707,0.487002206,0.280777498,1.384788994,0.275699264,1.043429883,0.806548572,0.383686532,0.683493677,1.019008698,3.526736101,0.915099004,2.234316048,0.46775783,0.761632153,0.514294709,1.02930201,1.612538846,2.228901666,0.466893885,0.693435627,0.917639533,0.554848649,1.445765261,0.36056544,0.63412266,0.317501073,1.21967771,0.862243055,0.948575063
SOCS3,4.346938147,0.290008346,0.338368414,0.078499808,0.233123615,0.484365069,0.708578826,0.192198255,0.519669727,0.280777683,1.561212389,0.420496756,1.084226966,0.57521235,0.099212522,0.12848458,1.498826155,0.574083776,0.786762599,0.68650062,0.414324546,0.245166355,0.418123276,0.536754402,0.388144686,6.236198982,2.00323729,4.5174237,8.191726836,0.624598243,0.352574483,5.234914991,0.453183528,0.375747226,0.484253124,0.74975927,0.834220273,0.419042007,3.597099789,1.814409289,0.529731547,5.993224346,0.386265966,6.273048613,0.309104587,2.315515276,0.344800281,0.580419031,1.584835416,10.07005584,0.967722939,0.785581694,1.885351325,0.914676468,2.381437955,0.564482277,0.315818394,0.242967238
PLA2G2A,1.123110734,1.850821945,0.454126559,0.495285816,0.499191875,0.958377344,0.320300971,0.518590019,1.675587531,0.425432111,1.066339346,0.138088583,0.043244697,0.911090575,0.008236038,0.340249952,0.955172655,0.635222139,1.135635843,0.846647686,0.437038676,0.321710094,0.197647401,0.092099287,0.115076626,0.780606195,0.288238188,,2.976603151,2.701948793,0.072493748,1.370941014,0.347399186,1.168237632,0.24112175,0.734075268,2.466558412,3.27652556,0.197624451,0.442576992,0.862641559,0.836149635,0.263461932,0.686183183,0.792600891,0.137817773,0.672606002,0.696244792,0.460519143,0.835087235,0.393562762,1.235276536,1.035504154,2.484289235,0.833256527,1.193335049,0.902918184,0.487452681
SLC2A1,0.047794902,0.077062119,0.101684161,0.110325112,0.098800795,0.100353777,0.078427333,0.052891047,0.107668416,0.048327908,0.066300611,0.2932425,0.204074336,0.08276517,0.123850078,0.057200304,0.127656052,0.07569453,0.098175082,0.055932614,0.123008792,0.04822193,0.133786107,0.083872029,0.086220016,0.099075155,0.055067078,0.037395259,0.150169827,0.096588794,0.101320653,0.079036704,0.269931811,0.072863167,0.097959837,0.105148537,0.141708715,0.13091176,0.107308316,0.175921051,0.126466981,0.189574031,0.051802552,0.098186353,0.068211872,0.050095812,0.061121873,0.089291474,0.081493746,0.108932045,0.053946232,0.137579078,0.053915097,0.058287621,0.084866193,0.102131507,0.073743866,0.035044546
COL6A6,0.037460138,0.07405119,0.110848961,0.06483128,0.0424723,0.099764249,0.105696563,0.104000798,0.087787946,0.032139701,0.016420794,0.000689418,0.080837372,0.225494902,0.005841957,0.068781597,0.059388761,0.044020925,0.029400829,0.139887001,0.129842394,0.053672734,0.063087625,0.307430908,0.076397388,0.072829507,0.030067187,0.011241683,0.067436204,0.02751763,0.018010731,0.022493732,0.063248136,0.017601388,0.045384189,0.015282246,0.034951536,0.070226878,0.073548194,0.108479911,0.126686369,0.54067492,0.06545588,0.261460775,0.099764249,0.086799653,0.165721501,0.617352537,0.6159279,0.111297995,0.025333077,0.104736313,0.057905043,0.1455245,0.016623103,0.042349814,0.046300342,0.087312628
GPR34,0.779975198,1.703103632,0.873370607,1.084727587,0.915839718,0.923169049,1.319507562,2.419428774,1.023964952,1.466625376,1.272941806,0.271997744,0.994929527,0.802830039,0.112825661,1.342727112,0.691994889,0.664957059,0.799960378,0.836149635,0.848703964,1.566269887,0.467649723,1.324395046,0.814601521,0.771996934,0.73246584,0.477641263,0.769859793,0.927551851,1.118061061,0.882804733,0.89079586,1.128443766,1.016304861,0.656788298,1.957482683,1.15242039,0.831814096,0.566442062,1.067571734,0.795444152,0.842744465,0.762424854,1.170128336,0.785854546,0.811877063,1.379997878,0.926160034,0.932386595,1.279576004,1.040901356,0.657167575,0.249884566,0.434622101,0.764983532,0.460785486,0.622365111
CLDN1,0.010401957,0.021118722,0.007963765,0.015269879,0.020893059,0.013618075,0.005127602,0.006278638,0.024803131,0.0062627,0.007583963,0.011204065,0.023571156,0.011842909,0.007623485,0.006680474,0.011811474,0.025432783,0.01859425,0.009315398,0.032822597,0.011673119,0.004854371,0.00836646,0.012600866,0.031340403,0.011201488,0.0311203,0.034224368,0.01624343,0.009789828,0.023974855,0.104542912,0.033956556,0.018930197,0.013299353,0.023316596,0.044831796,0.056185182,0.00784234,0.011901882,0.019055264,0.005613696,0.02464036,0.017147785,0.01723916,0.019181145,0.004100928,0.014857483,0.010093009,0.010213824,0.046595445,0.003280957,0.018342487,0.015764613,0.047382565,0.01084494,0.021135821
PCDH10,0.033702511,0.022982285,0.003269229,0.013183101,0.013827322,0.018075336,0.005233526,0.003674253,0.005619536,0.001935605,0.020118505,0.000240057,0.008379999,0.085624437,0.000142986,0.002299708,0.096010276,0.007765712,0.011990212,0.007997877,0.013638549,0.033407924,0.022058845,0.01300612,0.007209759,0.012518176,0.055777738,0.071421363,0.023661207,0.009555188,0.015056179,0.041125199,0.006806681,0.087403406,0.029123615,0.02152267,0.015958835,0.021810503,0.126906109,0.012735505,0.064249694,0.008970055,0.006949704,0.011752947,0.02746364,0.046692457,0.032359519,0.004515703,0.010197316,0.01060214,0.021599872,0.045985814,0.004324751,0.02322517,0.003523765,0.029006096,0.127243821,0.258965838
SELE,0.057791446,0.005307201,0.016301688,0.000904454,0.00459782,0.014886687,0.004459198,0.003119794,0.005711824,0.028076359,0.005927611,0.081202399,0.017938043,0.008388728,0.007780973,0.003098244,0.008877278,0.000784376,0.002394599,0.002275396,0.029807791,0.020317045,0.001051744,0.029438207,0.033334649,0.045885012,0.007293534,0.088972347,0.121301329,0.013663774,0.005813007,0.228880585,0.00819049,0.007321393,0.008418819,0.018446617,0.032150836,0.021855908,0.041718553,0.011304171,0.002797463,0.121063254,0.005276022,0.050983207,0.001989563,0.024194679,0.002508139,0.000626528,0.030349845,0.657015838,0.013913865,0.016095855,0.012454697,0.005726361,0.021903926,0.004928959,0.003633729,0.00224174
ACAN,0.011422332,0.026861179,0.001172389,0.010193789,0.005872401,0.00659993,0.000414311,0.000952605,0.000455478,0.00059328,,,,,,,,,,,,,,,,,,,0.008993923,0.002621305,0.005970221,0.01077376,0.001426967,0.066978111,0.002680717,0.003849802,0.006808251,0.007952737,,,,,,,,,,,,,,,,,,,,
OLFM4,0.018433826,0.011423645,0.00949357,0.013502148,0.011888135,0.010732771,0.005319481,0.015374327,0.025140684,0.010953242,0.012436003,0.001929131,0.031481888,0.019745484,0.000605606,0.011399916,0.034335222,0.049526118,0.018029449,0.021260707,0.024069216,0.013968624,0.020934127,0.001834159,0.015751863,0.012522496,0.013385662,0.015760959,0.02863985,0.024560769,0.00445302,0.021192042,0.015648481,0.016872682,0.004813607,0.048277661,0.066523129,0.028216187,0.011162721,0.012726676,0.040973451,0.036634157,0.005993715,0.010403161,0.007552482,0.021349315,0.011448739,0.005255946,0.025309677,0.006712198,0.014830048,0.022356435,0.021268073,0.028034217,0.036242689,0.034987905,0.046622393,0.02316088
KLF5,0.073251381,0.157035876,0.050281346,0.04209617,0.053240439,0.065705901,0.043676462,0.024259054,0.055079795,0.06142629,,,,,,,,,,,,,,,,,,,0.080977622,0.050537562,0.033169478,0.077088868,0.08027901,0.057365779,0.058106131,0.044780053,0.071545276,0.083601132,,,,,,,,,,,,,,,,,,,,
