"","logFC","logCPM","LR","PValue","FDR"
"KCNK2",-1.07537392714394,-0.44503732879558,25.7707380001385,3.8447355699703e-07,0.00351243194834894
"KRT19",-1.90446068006838,1.06947404090856,25.4531956094601,4.53246267288075e-07,0.00351243194834894
"PRSS16",-1.31529252281934,-0.273784415364331,20.5587021538277,5.78303009219955e-06,0.0298770611330003
"ELOVL4",-0.750410016159774,0.00454804430799379,19.6955991554043,9.08102536374686e-06,0.0351867030281781
"IGHA1",-2.01333068680682,4.67006128217119,18.3729891414741,1.81614365671002e-05,0.0554688782174836
"KRT5",-3.00122326950519,2.32881232152522,17.9240328576714,2.2989964048086e-05,0.0554688782174836
"CLDN1",-1.4008902043091,1.58115790048458,17.7605772898208,2.50520773935341e-05,0.0554688782174836
"RN7SK",2.12162704990697,3.38268009272557,16.6843009231125,4.41448086841454e-05,0.0855250487244463
"C3orf35",-2.58105086629013,1.32398500090544,15.7900505399039,7.07737046867135e-05,0.121880183215486
"CDH2",-0.74393086399773,-0.696758932825248,15.3961065465976,8.71677124791427e-05,0.135101237571423
"DRP2",-1.36472318405262,0.0176495882568581,15.1894724730067,9.72440446870897e-05,0.137016858964109
"ITGAD",1.34177632020698,0.136553560840589,14.6903032568079,0.000126696486678274,0.163639070585548
"EDA2R",-0.905940086372831,2.25347243854709,14.3119306931461,0.00015488014907998,0.183035084824594
"KIF25",1.02720056145225,2.845108280906,14.1890175862519,0.000165332678724067,0.183035084824594
"OLFM4",-1.18233896623375,0.0994646492037066,14.0353649295402,0.000179404589139894,0.185372781805281
"CCDC81",-0.657470956252255,-0.730002774794405,13.4284512243722,0.000247836643227049,0.240076258336002
"RAB6C-AS1",-1.09345050912636,-1.02657051563008,12.7765275718332,0.000350995872186139,0.320005001353704
"GCKR",-0.655191977869465,-0.537308148618706,12.3667892616881,0.000437038529775334,0.376314454054884
"LOC653786",0.689399767937918,0.367920454876065,12.1977276641789,0.000478477628207341,0.38677927511662
"CD300A",0.501464740167673,3.02167946233406,12.119016378463,0.000499102232552578,0.38677927511662
"KLF5",-0.68800538389245,2.63911096348899,11.9260718689797,0.000553537695902731,0.399756943890532
"MSX2",-0.71542208168968,0.232876182294146,11.8798879111323,0.000567433561235673,0.399756943890532
"NTNG1",-0.978956709014038,0.0287077850335834,11.5412137946397,0.00068070184143966,0.458704253933621
"RCOR2",0.710323004566133,0.0535998701190638,11.2818095244872,0.000782702283034747,0.472163789404757
"COL6A6",0.965157498916887,3.54302689769755,11.2586991372322,0.00079250730790567,0.472163789404757
"ART3",-1.09182080849678,-0.372363691903149,11.1555300605513,0.000837815484296053,0.472163789404757
"RHCG",-1.28749774410107,-0.28707768733788,11.1287420893643,0.000850002165781601,0.472163789404757
"S100A1",1.62839492879961,3.67549592195049,11.0885071547238,0.00086864383737577,0.472163789404757
"TRIM29",-0.735684964951656,0.944598806022865,11.0411627440345,0.000891109547540639,0.472163789404757
"MTRNR2L8",-1.77808695495293,0.811292679276653,10.9943017866467,0.000913924361709963,0.472163789404757
"KCNK1",-0.717200727911095,1.04609577378271,10.9167985946546,0.000952961491199656,0.476042393653267
