"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"11825","SHOX2",65,123,44,39,1,98,42,223,26,16,44,81,83,274,2,57,27,84,73,19,125,243,15,82,57,45,24,11,14,7
"8386","MYOZ1",120,126,4,14,85,18,41,20,9,6,5,63,206,3,5,6,13,79,198,80,22,55,14,264,17,89,19,68,30,471
"13336","TLR7",3,70,34,253,25,59,31,66,50,160,267,79,33,186,20,257,26,3,118,36,180,16,43,6,6,11,376,20,46,405
"6575","KRT19",287,35,100,33,7,91,40,1,69,136,16,4,1,164,229,43,254,156,99,1,126,459,57,1,301,14,75,60,7,24
"3703","EDA2R",86,2,192,12,29,10,78,3,157,144,64,394,8,523,109,190,328,208,6,2,23,38,212,17,10,39,585,186,41,3
"6308","KCNK2",61,237,56,94,142,102,355,528,75,46,13,85,412,121,166,30,108,181,232,47,28,188,63,119,69,81,21,39,155,15
"2527","CLDN1",349,130,66,227,585,52,287,100,93,119,107,3,7,226,35,15,183,199,42,199,74,106,179,7,7,201,17,391,64,11
"11485","SCD5",21,99,149,106,81,41,129,496,135,123,103,106,190,147,107,28,111,133,89,209,87,23,509,276,92,257,141,38,145,180
"6847","LINC01088",164,148,86,18,11,82,9,9,192,29,9,40,139,81,45,96,124,278,128,161,123,336,248,156,127,139,539,248,2,645
"2856","CRABP1",233,90,1,27,425,111,82,970,5,1,1,56,12,231,1,1,28,90,463,59,6,68,72,853,343,167,131,82,50,28
"2106","CD300A",110,91,91,364,639,154,58,203,65,128,412,209,110,52,99,21,62,108,215,75,136,34,112,118,74,260,166,306,61,420
"7439","LY86",18,10,469,194,235,206,27,328,87,17,627,12,2,495,60,20,12,32,231,6,619,237,133,5,18,294,173,13,16,697
"12023","SLC2A1",46,23,559,36,26,436,15,121,369,69,185,19,94,204,74,574,58,134,62,24,1092,290,83,52,32,15,179,50,22,525
"6158","ITGAD",36,243,106,219,151,213,164,483,20,249,214,147,6,520,172,54,156,359,106,131,489,100,220,60,311,179,207,114,117,50
"2086","CD180",2,229,226,557,912,353,5,139,84,56,762,16,37,94,66,2,42,9,415,40,169,48,130,13,84,131,35,37,3,928
