"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"6575","KRT19",237,2,2,2,69,65,1,1,90,57,1,4,1,138,55,72,2,6,115,77,58,213,437,1,23,1,30,49,3,3
"3703","EDA2R",14,3,3,6,16,49,4,18,13,208,15,35,2,258,73,84,8,499,442,13,4,129,60,4,175,57,31,81,26,31
"11825","SHOX2",13,55,156,31,132,21,19,266,148,79,179,1,219,357,69,36,129,76,27,144,32,39,5,43,116,25,13,185,14,46
"6158","ITGAD",4,111,8,8,10,7,315,23,112,43,220,158,77,270,238,76,594,171,89,377,14,5,11,240,21,16,35,58,21,38
"13336","TLR7",370,87,35,51,391,68,282,13,172,31,31,20,53,149,273,13,145,28,11,9,263,116,99,6,38,18,108,146,17,487
"699","APCDD1L",35,340,6,23,170,17,59,25,3,33,26,28,249,163,207,3,860,440,57,45,55,8,6,19,152,9,33,33,621,67
"6308","KCNK2",312,186,26,60,37,113,123,279,40,35,154,308,157,266,96,128,30,90,50,61,353,52,194,182,11,13,5,710,13,32
"2527","CLDN1",92,27,274,16,485,132,84,208,107,392,134,97,338,119,116,215,4,141,354,10,123,4,33,11,216,78,130,120,327,5
"2856","CRABP1",21,71,747,89,79,28,627,840,109,124,65,43,132,107,272,158,124,152,606,98,75,17,1,114,46,26,599,26,331,15
"11485","SCD5",718,252,110,91,518,195,300,109,111,92,187,103,426,309,94,26,642,112,79,90,222,23,175,232,188,50,47,376,112,44
"12735","STC2",48,89,174,289,146,73,176,190,17,80,123,118,191,340,141,59,1057,357,82,80,27,3,53,29,977,1303,78,36,43,366
"3864","ELOVL4",117,121,167,223,325,269,320,424,113,368,174,509,49,104,228,346,712,330,266,149,101,90,178,93,244,281,95,165,88,351
"7383","LRRN2",33,105,139,62,96,242,83,233,499,1058,38,185,56,76,790,265,17,139,345,192,68,478,102,22,348,100,330,148,229,692
"6306","KCNK1",28,422,343,30,18,505,226,274,663,994,55,12,113,262,841,42,76,155,28,22,56,40,49,55,340,237,76,63,212,1006
"8831","NPAS2",94,126,229,118,142,108,267,170,484,679,10,115,18,82,333,10,113,134,216,355,76,215,284,33,275,136,348,190,1455,568
"2103","CD28",229,178,121,142,370,36,1701,399,160,74,29,261,507,274,588,312,209,52,61,57,331,97,149,21,212,219,244,141,22,339
"282","ADGRG2",329,1,37,24,247,2,24,70,232,17,84,92,25,2753,254,39,26,989,74,88,18,184,785,30,725,168,15,188,59,86
"3680","EBI3",208,30,72,64,803,97,2366,77,39,11,64,336,300,742,595,99,424,23,67,21,128,13,195,35,96,52,299,384,15,35
"6490","KLF5",435,4,18,300,581,811,37,9,69,319,35,619,19,128,138,41,111,278,773,122,350,305,392,85,110,91,216,1236,424,53
"5780","HSPA4L",473,86,9,35,396,131,39,68,127,316,88,171,41,781,354,109,90,945,816,308,67,898,490,115,500,94,72,323,457,41
"10318","PRSS16",411,106,109,248,250,58,136,549,317,28,81,512,23,213,101,2207,38,255,42,70,874,201,371,45,45,49,43,513,1,1295
"12023","SLC2A1",1675,56,25,44,737,334,12,103,16,109,34,44,70,704,643,32,1,74,150,368,199,1838,324,38,30,2,352,536,731,9
"10842","RCOR2",290,53,83,68,225,196,162,78,196,442,140,300,37,516,1007,172,227,540,567,73,225,549,423,296,251,161,267,223,1522,261
"2106","CD300A",673,46,1269,369,1107,470,1145,162,75,257,66,434,71,59,163,77,312,64,149,26,389,59,183,64,267,451,654,275,339,107
"2200","CDH2",243,246,42,232,133,84,183,311,343,119,311,1322,79,217,301,678,161,465,400,437,843,624,625,202,160,123,127,570,41,201
"3036","CXCL2",596,23,75,53,22,262,88,35,1157,288,984,193,13,9,256,2,929,43,36,104,94,1100,2661,487,10,169,16,40,105,27
"5201","GPR34",1011,66,63,318,1292,10,153,3,9,6,128,477,92,1326,318,92,262,227,8,84,835,506,734,102,127,61,260,180,928,209
"8227","MSX2",348,177,487,164,562,296,738,100,187,355,63,295,131,114,1186,68,201,128,165,75,316,231,75,198,161,86,972,129,1940,260
"14447","VIT",648,350,100,26,528,702,132,251,461,485,421,47,393,1350,240,52,605,1153,243,158,60,30,227,443,521,223,23,229,139,365
"8960","NTNG1",395,481,265,691,734,866,13,55,32,561,581,498,579,525,44,22,323,468,23,1180,232,9,106,204,226,357,109,34,1089,7
"2505","CKAP2",1783,50,114,364,1765,356,1049,65,20,152,146,685,54,207,574,66,236,191,76,65,197,285,484,428,58,120,146,468,458,117
"10619","RAB6C-AS1",434,118,604,128,897,445,1972,343,425,216,45,359,63,110,1923,185,242,33,127,24,152,25,167,15,222,231,249,741,46,336
"2786","COTL1",38,554,165,73,36,386,271,1294,970,1309,172,169,48,111,264,456,82,316,254,81,130,260,767,117,594,568,98,366,113,1083
"12317","SNN",437,115,320,358,602,985,72,226,164,760,318,475,207,165,281,301,221,536,566,180,370,138,574,261,398,445,326,708,360,464
"13648","TNFSF9",225,400,24,25,321,232,46,38,696,687,195,228,242,106,1201,11,540,264,167,1432,97,392,262,594,1174,93,820,50,785,37
"3580","DRP2",32,114,29,143,44,23,38,292,248,144,5,27,3,1134,161,275,10,745,1372,822,34,126,968,3,27,37,100,3681,1130,25
"10253","PROCA1",375,359,281,75,80,671,248,498,827,1116,262,139,103,604,220,251,272,544,249,207,317,321,1308,375,486,1038,50,255,94,234
"1083","ATP8A2",53,926,562,49,335,572,537,428,325,1243,92,63,449,58,1263,35,300,182,26,385,36,64,17,106,1469,207,957,20,700,446
"5296","GSTM2",553,376,1051,152,367,32,568,574,632,306,492,127,463,1364,418,503,230,303,341,898,162,69,229,225,571,350,292,122,254,62
"13391","TMEM108",169,346,563,129,994,170,795,587,220,201,235,8,270,714,488,49,1123,1118,187,336,16,12,10,27,775,125,165,127,183,2355
"4068","EVI2B",1724,311,1132,98,785,18,380,91,121,22,205,348,627,681,994,244,147,77,223,53,2036,299,404,84,153,63,1045,379,244,57
"8386","MYOZ1",8,130,1875,5266,57,237,70,458,11,78,7,389,146,8,18,44,15,19,20,6,623,10,13,14,17,21,1356,112,1771,278
"7921","MIR17HG",1930,74,480,32,262,315,65,283,533,165,267,707,295,1681,731,200,54,95,204,49,1050,190,1621,249,379,114,712,151,198,19
"5807","HUNK",112,833,337,34,31,9,1412,1091,803,607,21,3,69,430,115,86,541,1442,284,239,7,6,30,10,1897,226,4,47,242,2411
"13201","TGFA",2091,405,399,101,938,69,2838,76,43,70,175,788,873,40,235,55,106,47,45,347,858,218,432,975,190,58,454,171,282,28
"10180","PRDM8",67,837,518,689,82,495,296,1410,932,454,368,145,587,770,89,230,368,482,313,569,499,161,52,150,441,153,277,334,921,772
"13204","TGFB2",111,119,15,355,185,263,22,214,31,338,505,458,380,1028,129,276,1348,3229,640,86,188,122,254,152,1415,776,44,372,196,514
"7155","LOC284454",328,76,796,97,421,167,182,19,548,107,32,1115,541,24,447,34,78,2,148,136,631,78,286,765,326,43,5608,114,673,2
"2724","COL6A6",203,262,579,747,271,568,77,453,254,390,433,1249,216,495,284,538,688,276,325,277,202,26,1117,83,890,2258,259,491,23,88
"2196","CDH10",468,1024,231,74,1570,498,813,124,654,378,8,59,203,12,4467,27,699,1,5,3,26,57,176,9,600,116,643,18,85,1105
"4964","GIMAP2",1533,282,71,315,2250,208,388,30,47,234,211,828,229,432,797,340,306,675,120,280,342,871,551,427,377,268,219,220,848,485
"330","AEN",147,78,92,47,286,152,76,171,613,1259,176,183,121,538,722,794,97,349,739,132,336,1725,339,189,371,280,794,98,2428,957
"5003","GLI2",198,2089,36,323,116,34,229,254,88,52,968,507,1552,995,118,296,834,1012,100,1161,574,194,152,890,322,106,20,446,430,320
"7439","LY86",1865,13,419,280,2279,565,1033,221,605,48,94,223,123,2274,146,108,175,36,129,30,185,62,1985,18,624,77,610,178,90,17
"914","ART3",356,228,4163,1006,152,316,444,321,101,507,59,817,145,83,38,136,357,98,553,189,910,11,340,121,237,156,1401,249,1137,49
"4414","FBLN7",187,279,76,1252,179,246,169,977,319,103,955,1838,705,528,42,943,546,401,846,342,1367,49,463,125,301,196,124,1170,110,138
"6819","LINC00924",6,34,288,1871,9,478,15,1524,271,665,287,1780,51,14,227,1533,91,589,612,40,487,203,271,12,57,392,429,380,241,2253
"3508","DOC2A",148,188,33,132,334,902,346,243,334,1036,353,387,515,948,451,710,273,308,24,105,93,1279,255,91,1093,547,52,296,160,3863
"9632","PHKG1",880,12,4,21,1126,885,14,15,124,915,229,45,12,793,1476,409,24,637,2293,318,90,2607,355,169,300,270,174,544,275,597
"14676","XPNPEP2",116,1358,191,188,127,55,756,1368,477,210,268,95,743,760,562,317,662,1973,402,29,127,7,107,62,353,121,22,214,340,3820
"6450","KIF25",265,427,213,292,280,234,1127,1107,122,556,459,841,95,212,532,958,859,1178,1026,293,390,599,215,475,196,200,211,929,823,746
"14184","UBE2QL1",410,306,748,283,1657,103,663,355,987,86,37,252,87,221,2735,435,73,94,271,92,805,185,264,25,79,27,1014,1001,19,2834
"11066","RNF165",1855,137,481,66,730,1861,673,63,277,1685,718,304,279,214,1972,219,163,771,209,23,51,205,479,781,214,925,87,176,429,423
"2086","CD180",1903,9,1075,729,2114,732,2614,146,216,69,41,1286,61,174,5,95,503,29,97,1,1048,32,1896,49,417,441,702,248,49,11
"5254","GRIN2A",339,33,920,657,156,159,43,384,364,129,60,3807,469,125,64,168,477,3,103,18,1377,42,349,16,201,401,5468,230,271,24
"1026","ATP1B1",796,387,376,171,861,230,1465,172,453,186,265,466,324,910,1286,1542,531,370,360,205,1063,695,496,142,448,793,209,470,16,1234
"3929","ENPP5",357,210,351,61,915,411,277,413,134,1318,658,305,337,49,2921,489,417,1357,500,483,239,902,61,504,338,81,373,159,364,2131
"10956","RHCG",978,51,132,138,1260,1149,184,177,844,1975,6,164,5,143,773,115,126,665,1121,1666,49,1000,1043,58,1211,187,274,885,711,228
"4892","GCKR",178,699,253,90,70,352,797,1397,1153,588,677,142,180,1590,725,999,287,1011,446,472,345,1023,409,283,491,252,66,598,109,1728
"9150","OTOA",338,214,1107,82,468,249,3836,739,965,542,181,102,21,846,946,755,341,189,1658,358,191,105,366,53,419,630,198,1052,130,481
"4395","FAS",175,211,91,2108,135,570,164,776,8,713,112,715,44,130,28,577,197,2358,831,257,229,1112,478,413,76,292,45,1559,2719,560
"5277","GS1-124K5.4",1584,512,325,459,672,422,505,342,304,325,494,607,320,2027,119,377,733,1075,196,611,799,833,1193,561,811,897,77,319,126,220
"12305","SNHG18",289,219,3203,204,73,749,445,1112,1069,1783,323,163,143,929,124,635,61,347,426,99,632,128,686,236,492,2199,433,136,425,150
"10784","RBM24",277,187,1616,489,151,228,142,371,237,317,132,1484,678,45,79,40,349,91,245,266,1668,92,172,411,131,80,5018,175,2821,20
"13925","TRPV4",1007,278,152,711,1258,394,764,183,650,113,158,407,443,1630,787,336,935,170,83,125,1375,1320,462,90,366,160,548,942,144,2037
"3393","DKK3",2,317,130,1206,1,104,34,613,203,637,398,658,940,840,346,349,692,1548,532,642,382,538,68,548,407,229,847,238,3702,908
"2014","CCL2",371,91,171,22,493,129,216,106,3550,50,812,494,421,189,290,57,248,7,94,3589,1021,2683,803,845,145,14,929,79,218,8
"2531","CLDN18",896,345,102,255,638,567,370,645,523,643,511,555,138,942,1055,830,428,1397,1437,827,332,890,715,267,465,262,129,1377,199,574
"5413","HAS2",3,1344,98,173,75,48,4697,429,341,88,106,376,1067,175,2336,106,738,148,84,584,211,20,3,176,95,10,239,191,668,4038
"12351","SNORD80",641,256,227,375,675,596,318,332,1536,726,394,519,128,469,1466,196,928,471,764,1089,410,1232,824,374,461,162,1068,521,1304,288
"1989","CCDC81",457,777,896,67,294,733,373,918,1518,1063,627,241,734,1120,505,371,333,835,650,1080,360,268,291,409,1947,790,600,215,195,92
"3481","DNAJC9-AS1",397,674,869,195,378,926,1795,1094,906,1569,432,351,153,345,317,437,1182,550,303,378,144,130,585,260,1423,1906,154,268,214,572
